Participant_id,Trial,Experiment_id,Start_time,Valence,Valence_L,Arousal,Arousal_L,Dominance,Liking,Familiarity
7,6,4,8561242,7.08,positive,5.03,positive,3,2.97,5
7,7,26,9382461,2,negative,4.04,negative,3.13,7.08,5
7,8,34,10215011,4.01,negative,7.13,positive,7.06,2,1
7,9,33,11045227,4.97,negative,7.08,positive,6.99,7,1
7,10,6,11880109,6.97,positive,6.04,positive,3,7.03,1
7,11,38,12694498,5.03,positive,7.1,positive,7.03,5.99,1
7,12,25,13523215,2.99,negative,3.03,negative,1.99,7.1,3
7,13,18,14333439,7.03,positive,3.06,negative,5.03,7.01,5
7,14,37,15162656,5.05,positive,7.04,positive,7.12,7.03,5
7,15,8,15972046,7,positive,5.99,positive,7.04,7.06,5
7,16,22,16773759,3.05,negative,2.03,negative,1,6.94,5
7,17,9,17608486,6.99,positive,4,negative,7.08,7.05,5
7,18,15,18392387,7.99,positive,3.01,negative,1,7.03,5
7,19,2,19170787,7.15,positive,5.96,positive,3.96,6.91,1
7,20,39,19988343,7.01,positive,7.01,positive,7.05,7.08,1
7,21,19,22129279,6.99,positive,6.04,positive,6.03,7,5
7,22,7,22925837,7.08,positive,7.06,positive,7.06,7.03,5
7,23,20,23710573,8.06,positive,6.06,positive,2.05,7.14,5
7,24,10,24542456,7.09,positive,7.04,positive,8.06,7.09,5
7,25,31,25332520,6.96,positive,7.03,positive,5.03,7.05,5
7,26,21,26107089,3.12,negative,5.99,positive,6.06,6.94,5
7,27,40,26877992,7.01,positive,7.03,positive,6.03,7.05,1
7,28,1,27667719,8.1,positive,4.01,negative,1.92,7.06,2
7,29,23,28459061,3.01,negative,3.04,negative,5.03,6.96,5
7,30,35,29289613,5.01,positive,8.05,positive,8.09,6.92,5
7,31,32,30108224,4.96,negative,7.09,positive,8.05,7.99,5
7,32,13,30939773,8,positive,2.96,negative,1.94,7.1,2
7,33,14,31736168,7.09,positive,5.03,positive,4.97,7.12,1
7,34,5,32565052,7.05,positive,6.99,positive,6.04,8.05,5
7,35,11,33357781,7.03,positive,7.09,positive,2.97,8.06,2
7,36,24,34158342,1.97,negative,7.03,positive,1,7.1,5
7,37,12,35012217,6.99,positive,4.05,negative,5,7.1,1
7,38,36,35822107,8.1,positive,9,positive,7,7.01,5
7,39,28,36608506,2.05,negative,2,negative,3.01,6.95,2
7,40,16,37450718,3.03,negative,5.04,positive,3.95,7.05,1
8,1,22,2205910,4.23,negative,5.79,positive,1.19,7.79,2
8,2,34,3082277,5.05,positive,6.83,positive,5.92,6.69,1
8,3,9,3981471,8.78,positive,7.24,positive,6.35,8.22,3
8,4,32,4785530,6.33,positive,8.23,positive,8.23,8.83,5
8,5,30,5600918,1.4,negative,3.13,negative,1.21,7.95,4
8,6,11,6417473,8.41,positive,5,negative,5.12,7.54,1
8,7,7,7230362,5.04,positive,5.04,positive,5.04,4.95,1
8,8,23,8013262,3.59,negative,3.68,negative,3.44,6.6,2
8,9,4,8839473,6.82,positive,8.23,positive,5,8.12,1
8,10,8,9619047,8.82,positive,6.4,positive,6.31,8.53,5
8,11,20,10420441,6.74,positive,4.21,negative,6.44,7.08,4
8,12,16,11209505,4.21,negative,5.06,positive,5,6.24,2
8,13,17,11995070,6.67,positive,4.77,negative,5.04,6.6,1
8,14,13,12783135,7.9,positive,5.09,positive,3.9,8.1,1
8,15,28,13600023,5.04,positive,4.96,negative,5.04,8.68,1
8,16,24,14368261,4.15,negative,4.56,negative,3.35,7.86,5
8,17,40,15153332,3.13,negative,5.03,positive,4.95,3.81,1
8,18,35,15967221,3.62,negative,6.67,positive,6.74,5.9,1
8,19,31,16738452,1.45,negative,6.6,positive,1.45,3.27,3
8,20,29,17519686,2.78,negative,2.99,negative,3.62,7.15,4
8,21,38,19006176,4.72,negative,4.69,negative,5.65,5.65,1
8,22,1,19820234,7.6,positive,6.78,positive,7.86,7.47,1
8,23,21,20616796,4.68,negative,6.41,positive,6.27,7.33,1
8,24,33,21443681,4.44,negative,6.44,positive,5.94,5.51,1
8,25,15,22282895,8.33,positive,5.04,positive,5.17,7.31,2
8,26,18,23100616,7.21,positive,4.03,negative,5.44,6.64,1
8,27,5,23907673,4.41,negative,7.72,positive,5.62,6.67,3
8,28,19,24748554,5.04,positive,6.28,positive,5.04,5.81,1
8,29,27,25519957,4.46,negative,4.59,negative,6.65,6.21,3
8,30,37,26311521,5.06,positive,3.31,negative,3.21,4.55,1
8,31,6,27123240,7.4,positive,7.26,positive,5.94,7.04,3
8,32,26,27940965,4.99,negative,4.99,negative,5.04,7.44,5
8,33,39,28765517,5.05,positive,3.46,negative,3.45,2.88,1
8,34,10,29553915,4.97,negative,3.6,negative,6.94,3.77,1
8,35,12,30334315,8.47,positive,6.54,positive,4.01,8.19,1
8,36,36,31098721,1.21,negative,7.94,positive,3.03,9,2
8,37,2,31921607,5.04,positive,6.51,positive,5.65,6.32,2
8,38,14,32684677,6.88,positive,4.97,negative,5.12,7.38,5
8,39,25,33462415,3.72,negative,3.9,negative,3.5,7.71,3
8,40,3,34230817,8.15,positive,6.96,positive,7.33,7.96,1
9,1,1,3045789,5.05,positive,4.04,negative,3.01,4.97,2
9,2,9,3903330,5.96,positive,4.05,negative,4.04,5.01,4
9,3,7,4717218,5.08,positive,5.01,positive,3.9,5.03,1
9,4,10,5566262,3.94,negative,3.96,negative,3.99,3.96,2
9,5,14,6406642,7,positive,6.13,positive,7.12,7.04,5
9,6,35,7243023,3.01,negative,6.03,positive,2.96,5.96,2
9,7,4,8076571,5.99,positive,5.97,positive,5.03,6.09,1
9,8,24,8867302,4.03,negative,5.01,positive,6.08,4.97,5
9,9,18,9731173,4.9,negative,4.97,negative,4.96,5.03,3
9,10,37,10521570,2.99,negative,6.09,positive,2.97,6.06,1
9,11,29,11339957,3.99,negative,4.15,negative,3,4.99,3
9,12,30,12169009,4.04,negative,6.06,positive,3.96,6.06,3
9,13,40,12966735,5.04,positive,5.01,positive,4.04,4.96,1
9,14,11,13772460,7.12,positive,7.1,positive,7.14,7,1
9,15,17,14564690,6.03,positive,6.04,positive,5.03,6.06,1
9,16,20,15337759,5.12,positive,4.97,negative,5,5.29,1
9,17,25,16131324,5.04,positive,4.04,negative,5.04,5.04,4
9,18,6,16924884,7.04,positive,6.19,positive,6.13,7.08,4
9,19,16,17705618,4.05,negative,4,negative,3.87,6.04,1
9,20,12,18524005,7.08,positive,6.99,positive,7.09,6.13,1
9,21,27,23202409,5.04,positive,5.05,positive,4.97,5.03,4
9,22,34,24033292,5.06,positive,6.1,positive,4.01,6.03,2
9,23,22,24852679,3.99,negative,4,negative,3.97,4.99,1
9,24,5,25611254,4.99,negative,4.96,negative,3.94,5.12,1
9,25,28,26390321,2.96,negative,7.08,positive,2.96,6.05,5
9,26,38,27224870,2.92,negative,6.09,positive,1.99,6.12,1
9,27,3,28090907,7.08,positive,7.14,positive,7.09,7.06,4
9,28,31,28866476,6.06,positive,6.06,positive,5.03,6.05,1
9,29,23,29678532,5,negative,4.97,negative,3.09,5.97,2
9,30,21,30505583,4.04,negative,4.01,negative,4.12,4,1
9,31,19,31282152,3.97,negative,4.03,negative,3.94,4.99,1
9,32,2,32042725,7.08,positive,6.14,positive,5,7.03,2
9,33,36,32808299,3.08,negative,7.05,positive,6.95,7.06,2
9,34,39,33597524,3.17,negative,6.1,positive,4.03,6.04,1
9,35,13,34378095,8.15,positive,7.04,positive,8.17,8.08,2
9,36,15,35157496,6.21,positive,6.01,positive,4.99,6.06,2
9,37,32,35921902,3.1,negative,5.97,positive,3.06,4.06,4
9,38,8,36721462,6.15,positive,5,negative,5.03,5.99,2
9,39,26,37496856,4.1,negative,4.1,negative,4.03,5.12,5
9,40,33,38269600,3.08,negative,4.06,negative,2.96,4.13,2
10,1,11,3567112,8.99,positive,7.14,positive,7.09,9,4
10,2,24,4389831,6.82,positive,2.03,negative,6.05,1.73,4
10,3,8,5219214,5.68,positive,4.05,negative,6.05,6.22,4
10,4,32,6035436,5.96,positive,7.47,positive,9,6.44,2
10,5,37,6855323,2.92,negative,6.26,positive,4.78,3.04,1
10,6,14,7671044,8.81,positive,4.91,negative,5.9,7.97,5
10,7,7,8465604,8.96,positive,7.58,positive,4.95,7.09,1
10,8,12,9252171,5.37,positive,4.37,negative,3.95,6.65,1
10,9,19,10076056,7.82,positive,5.19,positive,6.01,7.82,5
10,10,13,10885780,6.72,positive,3.64,negative,4.67,6.08,1
10,11,22,11667347,4.24,negative,2.96,negative,4.04,3.35,1
10,12,36,12462408,2.17,negative,6.18,positive,4.26,3.01,1
10,13,2,13268300,3.55,negative,5.76,positive,6.64,5.12,1
10,14,26,14099355,4.95,negative,1.68,negative,5.1,5.96,1
10,15,39,14913572,2.17,negative,6.21,positive,6.21,3.87,1
10,16,35,15716297,1.38,negative,5.97,positive,5.97,4.1,1
10,17,18,16539183,7.31,positive,3.44,negative,5.18,8.12,5
10,18,9,17351572,7.56,positive,6.21,positive,7.59,7.27,5
10,19,28,18120204,4.31,negative,3.87,negative,4.5,6.29,4
10,20,33,18913206,4.94,negative,5.73,positive,5.03,4.88,1
10,21,23,21234913,2.87,negative,4.24,negative,3.21,5.44,1
10,22,31,22002151,4.15,negative,5.49,positive,3.6,5.53,1
10,23,27,22817206,4.94,negative,2.97,negative,5.05,5.1,4
10,24,25,23591275,1.92,negative,4.01,negative,3.17,7.18,4
10,25,15,24378839,5.31,positive,2.88,negative,3.85,5.04,1
10,26,20,25214881,5.58,positive,3.26,negative,3.76,5.77,3
10,27,4,25995454,7.01,positive,5.91,positive,6.01,6.86,4
10,28,10,26775021,5.94,positive,6,positive,6.14,6.23,3
10,29,16,27548757,3.85,negative,2.83,negative,2.99,4.09,1
10,30,3,28326658,5.86,positive,4.45,negative,5.82,6.01,4
10,31,17,29100061,4.95,negative,3.96,negative,4.22,6.17,3
10,32,29,29875962,3.94,negative,2.97,negative,5.04,5.47,4
10,33,34,30672191,3.91,negative,5.95,positive,5.04,4.1,2
10,34,6,31477420,7.1,positive,6,positive,6.82,6.85,1
10,35,1,32247320,7.91,positive,6.15,positive,6.67,7.63,4
10,36,5,33018889,7.24,positive,6.23,positive,8.13,7.9,5
10,37,40,33781962,5.78,positive,6.15,positive,7.04,6.44,1
10,38,21,34561696,2.97,negative,5.22,positive,2.85,6,2
10,39,30,35355092,2.64,negative,5.04,positive,3.18,4.99,2
10,40,38,36132826,1.91,negative,5.46,positive,2.97,3.23,1
11,1,39,2311873,1,negative,8.7,positive,1.14,1.01,1
11,2,27,3225728,2.28,negative,7.2,positive,1.36,2.9,3
11,3,3,4241881,7.41,positive,5.21,positive,7.45,6.27,5
11,4,30,5286861,4.58,negative,4.96,negative,3.83,1,1
11,5,16,6297679,4.35,negative,1.23,negative,4.41,1.79,1
11,6,29,7634557,2.32,negative,2.83,negative,2.4,1.55,2
11,7,37,8551910,1.47,negative,8.12,positive,2.09,1.24,1
11,8,38,9463432,1.35,negative,7.45,positive,1.19,1.22,1
11,9,6,10319474,5.32,positive,5.38,positive,5.27,2.78,5
11,10,19,11340125,5.54,positive,2.6,negative,6.4,5.06,5
11,11,7,12282970,6.37,positive,4.72,negative,5.13,6.22,5
11,12,1,13362435,6.27,positive,4.03,negative,7.41,6.5,3
11,13,12,14263961,5.04,positive,1.01,negative,7.46,1.37,1
11,14,24,15204807,2.88,negative,1.06,negative,6.44,1.33,2
11,15,10,16132324,6.53,positive,1.29,negative,8.41,2.36,1
11,16,33,17057341,5.64,positive,6.36,positive,5.86,1.24,1
11,17,8,17965698,6.26,positive,6.14,positive,7.54,6.1,1
11,18,36,18840900,3.62,negative,6.36,positive,5.97,1.42,1
11,19,4,19761252,7.65,positive,6.53,positive,8.27,7.06,1
